uuid,property_id,inventory_type_id,inventory_type_name,stay_date,physical_capacity
b4386a03-ded1-4a96-80a1-f77b50b18d30,3062,-1,UNDEFINED,2025-03-08,0
50212b1c-1c47-494f-9701-413ee9b0a5b0,3062,-1,UNDEFINED,2025-02-27,0
4e100e73-756f-41e5-8441-fa708d809c4d,3062,-1,UNDEFINED,2025-01-04,0
e37947fd-0361-41dc-be09-f094f1ac9f01,3062,-1,UNDEFINED,2025-03-02,0
cbbee40b-1f5a-40fd-bc59-c0eb673489b3,3062,-1,UNDEFINED,2025-01-19,0
8ad08222-cf7e-4f7f-9a43-09f9f8bd7312,3062,-1,UNDEFINED,2025-02-01,0
1e6aba25-2550-4b54-99e6-d1e67f145b42,3062,-1,UNDEFINED,2025-02-18,0
9052274f-de0c-40e2-b3df-a8b4975581ff,3062,-1,UNDEFINED,2025-02-23,0
a883bdb5-1b8d-416f-aa0c-d276067cb15b,3062,-1,UNDEFINED,2025-03-11,0
6ed556a6-d48e-4830-9d6d-bfbfb2d2adf3,3062,-1,UNDEFINED,2025-01-16,0
1a7b7b02-12ca-4da0-9db7-90b9b097a2a3,3062,-1,UNDEFINED,2025-03-23,0
d71c3d3b-20ed-47ed-a562-aebca1bb282e,3062,-1,UNDEFINED,2025-01-15,0
84637955-c465-4163-a583-0e29b41aec74,3062,-1,UNDEFINED,2025-02-26,0
5a142419-2e07-470a-96c5-72957d0d656b,3062,-1,UNDEFINED,2025-01-26,0
3fcaf443-3138-45dc-bd1c-9622bbd974a5,3062,-1,UNDEFINED,2025-01-14,0
585c9be8-e310-4528-a2e1-25c99f0f488f,3062,-1,UNDEFINED,2025-03-14,0
4e675283-0b30-4ae0-8c04-75cfa6a72c6a,3062,-1,UNDEFINED,2025-01-20,0
e8fbc955-5e2d-45c9-b7d8-9948dd798805,3062,-1,UNDEFINED,2025-03-26,0
453e12d2-ab0d-4497-8ae2-3f50565318d0,3062,-1,UNDEFINED,2025-03-25,0
6549f295-c6f1-4dc0-9ece-d265ecc25b0e,3062,-1,UNDEFINED,2025-03-07,0
abc8e3d7-0047-4616-a87a-0c8c2eb2c2d9,3062,-1,UNDEFINED,2025-01-05,0
948a3420-9cb1-42a1-afdc-ae5fcf7864fd,3062,-1,UNDEFINED,2025-01-02,0
3e514982-d568-48df-b55a-b0a0d939fba3,3062,-1,UNDEFINED,2025-01-27,0
5ed8c453-f2da-471f-9820-b85ae70b8ac4,3062,-1,UNDEFINED,2025-03-27,0
25335612-e5c9-4aa9-a86a-e1f5968bdeef,3062,-1,UNDEFINED,2025-02-10,0
441c5c6a-17eb-4cef-82ae-1fc10d40c141,3062,-1,UNDEFINED,2025-01-29,0
3fe82943-b742-4248-a019-82fbd6b00233,3062,-1,UNDEFINED,2025-01-18,0
afd1a575-3750-4788-8eba-2feb69ccc1d6,3062,-1,UNDEFINED,2025-02-15,0
64ba0382-0416-4687-9712-d8150ec432f1,3062,-1,UNDEFINED,2025-03-10,0
b3a2bdec-1b37-435c-b128-743419150cc8,3062,-1,UNDEFINED,2025-03-22,0
f6d8cb24-dc43-4bc3-aed8-7748b152190a,3062,-1,UNDEFINED,2025-02-07,0
7ce8ba16-d3b8-4263-8149-607a34a1915f,3062,-1,UNDEFINED,2025-01-11,0
47e1a677-2647-4248-a24b-2b2780f90095,3062,-1,UNDEFINED,2025-03-19,0
4a709909-6ac0-4116-8dd2-e69bbcbc0f95,3062,-1,UNDEFINED,2025-02-17,0
b73d653f-008c-4453-aaa2-e9f01d02e334,3062,-1,UNDEFINED,2025-03-17,0
6585d39c-5c97-4575-886a-0add72d90e0e,3062,-1,UNDEFINED,2025-01-07,0
c7edfb9a-89b6-4fc9-a471-cdf1e6039f35,3062,-1,UNDEFINED,2025-01-01,0
ae9f669e-04bb-42ce-bc03-bc72c41c8623,3062,-1,UNDEFINED,2025-01-17,0
